"車站日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2015/1/21,10777,33029,67039,94736,46648,28725,22912,7735,6257,26828,4334,9138,12618,21125,20079,35473,30110,11010,15830,6211,15100,16589,6271,67885,3887,22514,22580,29766,40792,29040,17480,52539,38103,64935,53408,14302,69663,52794,50505,40327,51075,274204,68237,46424,49284,49906,64585,58811,48481,26595,63191,15021,16188,37237,14395,7181,5703,22184,20014,15309,66849,0,30509,13320,39325,35019,53755,69719,78050,49882,54158,123928,41228,59150,78701,47929,110650,40698,36445,30953,22664,19393,47490,31174,12899,10628,72790,34913,35108,34373,16594,20740,9304,8318,8099,16804,16256,23430,32151,54901,43897,22111,23291,22989,22873,22131,16074,15046,0,0,0,0,0,0,0,0,0,0,0
2015/1/22,10946,32545,68683,96976,47093,29175,23520,7719,6342,26830,4380,8929,13510,21831,20945,35907,29774,10868,15868,6668,15087,16898,6374,74448,4178,22731,21983,30085,40743,28667,17478,52731,38112,63954,55614,14067,69593,51142,50608,39903,50425,277035,69117,45662,49630,50607,66699,58868,46599,25869,62397,15176,16199,37391,15548,7146,5724,22121,19803,15043,67052,0,29906,12977,39583,34788,55273,70216,77642,49715,53546,123120,41806,60015,79767,49223,114187,42179,36750,30517,22980,19389,47975,30895,12636,10744,73187,37106,35333,34241,16560,21046,9562,8595,8118,16721,15949,23701,32059,54745,44926,21906,23357,23083,22753,21987,16072,15732,0,0,0,0,0,0,0,0,0,0,0
2015/1/23,11858,34660,71532,108041,48772,30560,24641,8104,6427,27721,4766,9180,14957,22448,23122,37183,31416,12082,17124,6943,15956,17839,6445,67439,6621,24493,24011,31960,44080,31527,19021,57541,41083,67187,58690,14648,73906,56090,52915,42824,52172,320030,77235,48249,52808,57105,72266,63834,51261,26772,64942,15927,16693,39627,17002,7327,5764,22612,20621,16223,70737,0,32551,14163,42091,35895,59605,78349,81846,52511,56377,141682,44522,62760,88008,53304,124340,43437,38687,32850,24192,21343,51427,33206,14007,11511,76225,39084,37747,37751,17420,23350,10614,9119,8746,17409,17540,25608,33919,56834,47866,23806,24787,25143,24255,24478,17245,16544,0,0,0,0,0,0,0,0,0,0,0
2015/1/24,9034,23556,44717,110556,29181,21506,18173,7269,5513,20255,3970,7042,21910,17078,27834,14736,14970,8720,16211,8798,12281,14533,3271,43411,4466,26302,20547,27016,33893,33210,17362,62730,42619,57910,48213,8098,65016,47631,44770,37523,29137,331495,77673,42355,38689,51998,84392,62098,45558,20464,52944,13134,12975,34202,21006,7666,4090,17385,19552,13899,88564,0,28682,12937,35684,27201,56440,77157,71181,44054,58706,155262,29220,59888,79055,48759,111916,31772,35018,21083,19541,18445,53092,25784,20518,9211,42725,34338,28183,39910,15890,21769,9945,5183,7675,14685,17557,20916,26520,43941,45938,20577,21793,23638,20974,22177,15104,15299,0,0,0,0,0,0,0,0,0,0,0
2015/1/25,8775,19521,31976,87196,22980,16588,14378,6210,4967,15586,3570,5882,23053,12394,22817,11054,12108,7485,13662,8119,10068,12105,2801,39844,4155,23970,17584,22682,26387,24495,14757,53888,34148,44650,41521,6397,54299,39530,37105,31733,21992,302164,64063,31006,35852,46541,72079,52525,44962,15346,42628,10689,11781,29750,19751,5723,3456,14967,15457,11848,84203,0,25717,10749,30887,21557,47189,68389,59760,35616,51117,137626,27951,50210,59757,40612,94032,26269,28727,17802,16447,16224,41479,19555,19330,6895,31461,20398,22315,30296,13268,17875,7893,3878,6314,12343,14311,17868,20385,34161,38503,16895,18542,18482,17336,18726,12978,12596,0,0,0,0,0,0,0,0,0,0,0
2015/1/26,10483,30926,64411,91022,45448,27922,22315,7495,6130,26032,4192,8852,10558,16887,18497,30654,28472,10811,15284,5943,14681,16153,5984,56787,3939,21772,22546,28961,39831,27875,17053,48866,36152,63520,52536,14003,67714,50428,48919,39097,49823,275405,64739,46109,48002,47795,59473,53518,44527,25912,60887,15310,15354,35279,13379,7096,5699,21429,18854,14256,64088,0,29283,13365,38836,34302,52068,68457,75419,48215,52933,121431,38126,55732,75255,46632,111506,39231,35939,30857,21667,18343,46495,29043,12099,10861,70758,35219,34542,32162,15009,19826,8922,8040,7470,16138,15665,23448,31242,52781,41682,21741,22665,22694,22032,21713,14819,14776,0,0,0,0,0,0,0,0,0,0,0
2015/1/27,10783,33280,71559,98784,48855,30168,23978,8152,6332,27675,4342,8858,11056,17885,22702,32792,31062,12156,17145,5810,16510,18676,6550,60759,4648,22697,23671,31467,43808,29867,18526,55932,38730,68559,58887,14736,73856,54481,53444,42436,52089,289966,70883,48003,49705,49454,64330,58967,47683,27524,63470,15865,16684,37296,14441,7420,5879,22082,19979,14498,64420,0,31203,13868,41898,36435,58706,75366,81193,51943,54314,145205,41020,58855,82762,50202,117111,43184,37494,32363,22899,17959,52298,32762,12743,11532,75840,39075,37849,35951,16605,21353,9788,8850,8144,18100,18032,24691,33552,56590,45738,23643,24504,24882,24225,23546,15752,15967,0,0,0,0,0,0,0,0,0,0,0
2015/1/28,10814,32341,69194,100824,42643,29346,23155,8023,6279,26629,4263,7701,12360,16694,20935,32696,28148,9864,16513,5828,15985,15795,6864,61414,4013,22220,23396,31049,40308,28705,18223,54667,38667,69385,57929,13958,70209,52588,51419,40788,52694,299616,72071,48825,48538,49980,66914,56357,49715,25348,62967,15059,16374,35734,14749,6981,5679,21967,19854,14476,64290,0,30597,13432,39193,35482,57246,73520,79389,50277,54042,133352,39478,61277,83717,51905,119876,39491,36574,31472,21498,18392,65683,32339,13082,11495,73808,33835,37624,35938,16291,21314,9809,8615,7935,16943,16628,22641,31660,54314,45314,22191,23061,23840,22548,22430,15329,15031,0,0,0,0,0,0,0,0,0,0,0
2015/1/29,11011,32687,69203,101168,42235,28808,23391,7921,6220,25925,4437,7645,17428,17332,21628,32311,28623,9596,16226,6701,15647,16109,6677,59893,4270,23572,23397,30486,40964,28561,18128,55157,38933,67237,58540,13521,70849,53575,51528,41458,50822,303247,73203,50823,49791,49840,73929,62203,48210,24881,62571,15581,16551,36514,15908,7406,5543,21764,19478,14562,70813,0,31151,13399,39394,34816,57024,73675,79660,50446,55272,132743,37817,61143,81958,51740,118715,38129,36956,31044,21418,19428,66844,31776,14730,11234,73441,35274,37291,37029,15829,21483,10384,8724,8195,16808,16881,22935,31656,54321,45695,22742,23742,23901,22408,22465,15306,15634,0,0,0,0,0,0,0,0,0,0,0
2015/1/30,12039,34565,71480,113261,43187,29519,24023,8072,6462,26979,4437,7667,15357,19079,25028,33753,29426,10301,17235,6716,15917,16564,7098,65324,4234,24022,24271,31399,42504,31057,19084,60797,42078,69430,60290,13531,74363,55419,53723,42415,51051,341020,79300,51871,50855,53692,75342,60564,50886,24884,62979,15608,16734,37899,16668,7438,5745,22344,19833,15577,68197,0,32588,14023,40826,35481,59566,79010,81972,52677,56305,148512,39945,63869,88765,56034,128073,43036,37834,31842,22492,20108,68998,34244,14212,12160,76141,35910,37996,38832,16844,22499,10387,9059,8251,17091,17342,24399,35415,56884,48001,23200,24258,25326,23102,23096,15864,16394,0,0,0,0,0,0,0,0,0,0,0
